location,lat2,lon2,coorindates,latitude,longitude,known_as,years_active,address,neighborhood,kind_of_place,the_geom,created_at,updated_at,cartodb_id
Rock-Ola,40.439833,-3.672928,"40.439833,-3.672928"," 40°26'23.40""N","  3°40'22.54""W",El templo de la Movida,1981-1984,"Calle del Padre Xifré, 3",,Music Venue,0101000020E61000006380441328620DC0CD599F724C384440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,1
El Pentagrama,40.426222,-3.701706,"40.426222,-3.701706"," 40°25'34.40""N","  3°42'6.14""W",El Penta,,"Calle de la Palma, 4",Malasaña,Bar,0101000020E61000007D410B09189D0DC0F96A47718E364440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,2
Galería Moriarty,40.422589,-3.695031,"40.422589,-3.695031"," 40°25'21.32""N","  3°41'42.11""W",,,"Calle del Almirante, 5",Chueca,Art Gallery,0101000020E610000040A6B5696C8F0DC01E53776517364440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,3
La Vía Láctea,40.426847,-3.702894,"40.426847,-3.702894"," 40°25'36.65""N","  3°42'10.42""W",,,"Calle de Velarde, 18",Malasaña,Bar,0101000020E6100000DF6FB4E3869F0DC0A7B228ECA2364440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,4
Sala El Sol,40.419,-3.701636,"40.419000,-3.701636"," 40°25'8.40""N","  3°42'5.89""W",,,"Calle Jardines, 3",,Music Venue,0101000020E6100000EF91CD55F39C0DC01283C0CAA1354440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,5
Sala Morocco,40.422086,-3.707386,"40.422086,-3.707386"," 40°25'19.51""N","  3°42'26.59""W",,,"Calle del Marqués de Leganés, 7",,Nightclub,0101000020E6100000A12FBDFDB9A80DC0BB0CFFE906364440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,6
Pachá,40.42695,-3.699667,"40.426950,-3.699667"," 40°25'37.02""N","  3°41'58.80""W",,,"Calle de Barceló, 11",Tribunal,Nightclub,0101000020E610000034B91803EB980DC07B832F4CA6364440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,7
Plaza Dos de Mayo,40.426717,-3.704114,"40.426717,-3.704114"," 40°25'36.18""N","  3°42'14.81""W",,,Plaza Dos de Mayo,Malasaña,Public Square,0101000020E6100000F73E558506A20DC0D8D2A3A99E364440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,8
Plaza de Cascorro,40.410536,-3.707375,"40.410536, 3.707375"," 40°24'37.93""N","  3°42'26.55""W",,,Plaza de Cascorro,Lavapies,Public Square,0101000020E610000062105839B4A80DC053EA92718C344440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,9
Casa Costus,40.426219,-3.702581,"40.426219, 3.702581"," 40°25'34.39""N","  3°42'9.29""W",,,"Calle de La Palma, 14",Malasaña,Private Residence,0101000020E6100000EB538EC9E29E0DC088F71C588E364440,2015-04-11 22:26:39+00,2015-04-11 22:26:55+00,10
